index,sec_elapsed,n,mean,std
53,0.6534810066223145,990,14.333333333333334,3.2998316455372216
54,0.6653323173522949,1010,24.0,0.0
55,0.6891052722930908,1050,9.0,0.0
56,0.6950867176055908,1060,10.0,0.0
57,0.7010903358459473,1070,24.0,0.0
58,0.7071869373321533,1080,9.0,0.0
59,0.7132461071014404,1090,30.0,0.0
60,0.7193262577056885,1100,9.0,0.0
61,0.725330114364624,1110,29.0,0.0
62,0.7372438907623291,1130,14.0,0.0
63,0.7606368064880371,1170,12.0,0.0
64,0.8015410900115967,1240,12.0,1.0
65,0.8075778484344482,1250,8.0,0.0
66,0.8194384574890137,1270,18.0,1.0
67,0.8254663944244385,1280,45.0,0.0
68,0.8315048217773438,1290,22.0,0.0
69,0.8607890605926514,1340,10.0,0.0
70,0.8668780326843262,1350,10.0,0.0
71,0.8732531070709229,1360,10.5,1.5
72,0.8850915431976318,1380,10.0,0.0
73,0.8911502361297607,1390,22.5,10.5
74,0.8971529006958008,1400,11.0,0.0
75,0.9436905384063721,1480,40.0,0.0
76,0.9612481594085693,1510,11.0,0.0
77,0.9790828227996826,1540,20.0,0.0
78,0.996793270111084,1570,9.0,0.0
79,1.0028712749481201,1580,35.5,13.5
80,1.0147483348846436,1600,25.0,0.0
81,1.020792007446289,1610,10.0,0.0
82,1.0268373489379883,1620,15.5,7.5
83,1.0329821109771729,1630,24.0,0.0
84,1.0448112487792969,1650,28.0,1.0
85,1.074430227279663,1700,12.5,0.5
86,1.083329439163208,1710,13.0,0.0
87,1.1108603477478027,1730,9.666666666666666,1.247219128924647
88,1.117927074432373,1740,12.0,0.0
89,1.1318457126617432,1760,11.0,0.0
90,1.1524696350097656,1790,8.0,0.0
91,1.1595489978790283,1800,10.0,0.0
92,1.1665973663330078,1810,21.0,0.0
93,1.173729658126831,1820,10.5,1.5
94,1.1808788776397705,1830,9.5,0.5
95,1.194777488708496,1850,12.0,0.0
96,1.2087783813476562,1870,11.0,0.0
97,1.222858190536499,1890,10.0,0.0
98,1.2367398738861084,1910,11.0,0.0
99,1.2440991401672363,1920,9.0,0.0
100,1.2512664794921875,1930,10.666666666666666,0.4714045207910317
101,1.2720251083374023,1960,9.0,0.0
102,1.2791266441345215,1970,12.0,0.0
103,1.293041706085205,1990,10.0,0.0
104,1.3068840503692627,2010,10.0,0.0
105,1.314051628112793,2020,9.333333333333334,0.4714045207910317
106,1.3282010555267334,2040,11.0,0.0
107,1.3353214263916016,2050,16.5,7.5
108,1.3492579460144043,2070,10.0,0.0
109,1.3631961345672607,2090,28.0,20.0
110,1.3770802021026611,2110,9.0,0.0
111,1.3912620544433594,2130,14.0,0.0
112,1.3982865810394287,2140,12.0,0.0
113,1.4053900241851807,2150,13.0,0.0
114,1.4125287532806396,2160,11.0,0.0
115,1.4264147281646729,2180,9.0,0.0
116,1.4335784912109375,2190,13.0,1.0
117,1.4409232139587402,2200,12.0,2.943920288775949
118,1.448047399520874,2210,8.0,0.0
119,1.4619977474212646,2230,9.0,0.0
120,1.4762048721313477,2250,9.5,0.5
121,1.4903185367584229,2270,8.0,0.0
122,1.497708797454834,2280,8.0,0.0
123,1.5048909187316895,2290,10.5,0.5
124,1.512113094329834,2300,9.0,0.0
125,1.5262370109558105,2320,12.0,0.0
126,1.5334923267364502,2330,13.0,0.0
